ID,log_10(M*),log_10(Mgas),log_10(Mbary),log_10(Mdyn),Mg,Tidal index Θ,log_10(sSFR),log_10(M*/Mgas),log_10(M*/Mdyn),log_10(Mbary/Mdyn),AM star,AM DM,T_DM,e_DM,f_DM,T_*,e_*,f_*,β_*,σ_z/σ_r,σ_θ/σ_r,V/σ,λRe,h3,h4,class
679599,8.324767514,9.013411815,9.094331151,10.38914317,-16.0505,-0.6028651684,-9.785887269,-0.6886443006,-2.064375656,-1.29481202,47.77486067,39.66038621,0.4094775515,0.3942078295,0.5151133625,0.8492437006,0.8244409852,0.6137685954,-0.1224016426,0.782034834,1.315559422,0.351422,0.329653,-0.008607,0.009248,0
680474,8.50944692,9.316015046,9.379014359,10.26354025,-16.9879,-1.592815872,-9.535393712,-0.8065681258,-1.754093326,-0.8845258871,42.21827375,24.98889566,0.2059813126,0.1882340635,0.3762991678,0.840592465,0.7648908768,0.5170916056,0.1332217047,0.7095944543,1.106861209,0.442853,0.376751,-0.020854,-0.114397,0
690321,8.368619643,9.11630485,9.187736981,9.800733672,-16.3549,-0.06508985764,-9.886236346,-0.747685207,-1.432114028,-0.6129966907,18.89266519,4.646443226,0.3514578177,0.4050885482,0.6018724502,0.6842379153,0.752570325,0.7763541746,0.2869477134,0.7695649639,0.9283960266,0.216571,0.209616,0.008119,0.017743,0
696563,8.3808277,9.29854607,9.348097337,10.526414,-16.1538,-0.8693556057,-9.940263358,-0.9177183706,-2.145586297,-1.178316659,9.753911795,42.0926396,0.4277570892,0.3487318916,0.4303685717,0.8619217251,0.7903183854,0.5162802787,-0.02531545567,0.9462919444,1.205570001,0.164837,0.126952,-0.006887,-0.073749,0
727826,8.625373844,8.99784168,9.151401195,10.16612429,-16.838,-1.221913292,-9.797670577,-0.3724678364,-1.540750448,-1.014723097,36.03239909,14.0173606,0.6946581819,0.4003319422,0.2896388762,0.2325682147,0.3719748093,0.7279417708,0.01295868453,0.8824952899,1.183050079,0.732216,0.571021,-0.004058,-0.038909,0
761497,8.568018284,9.376107552,9.438901775,10.82811753,-16.4485,0.05319646929,-9.917896371,-0.8080892679,-2.260099248,-1.389215757,40.55711945,201.5019277,0.3343807845,0.377130485,0.5745103074,0.9554560696,0.8176597237,0.3066647903,0.1199782313,0.7230340951,0.9894958462,,,,,0
764365,8.669755223,9.345944297,9.42900632,10.76504815,-16.6798,0.2248575133,-10.06860821,-0.6761890742,-2.095292925,-1.336041828,39.89412365,120.2775746,0.807791438,0.4498160565,0.2456751824,0.8652284651,0.6345174403,0.3240030833,0.1489034735,0.7322563526,1.045621207,0.329317,0.296855,0.021206,0.020944,0
766103,8.51441945,9.374245689,9.430423695,10.76557532,-16.1542,-0.6523836595,-10.02166604,-0.8598262392,-2.251155873,-1.335151627,16.44961407,126.4643599,0.3790900172,0.3753861437,0.5183263118,0.9861797585,0.981926021,0.6141690646,0.1306151013,0.7687070198,0.9162016443,0.203684,0.174905,-0.008784,-0.093616,0
770215,8.424199269,9.37935703,9.425023082,10.76649787,-15.5273,0.2488482877,-10.54026542,-0.9551577611,-2.342298604,-1.341474791,79.60438245,344.18008,0.1387396234,0.2486302103,0.6395538112,0.9562353605,0.9145338797,0.4836715625,0.08271155009,0.9069080999,0.9046140011,0.240104,0.169672,0.028611,-0.178536,0
775387,8.418329545,9.358172882,9.405391964,10.72820801,-16.3368,-0.1438265327,-9.829768778,-0.9398433366,-2.309878464,-1.322816045,4.885610071,193.1100747,0.6064534513,0.430808352,0.3845594072,,,,0.0882228185,1.001358154,0.9754297801,0.14302,0.11558,-0.010599,-0.085331,0
781463,8.53379516,9.389040169,9.445776634,10.67336707,-16.6884,-1.454923541,-9.79075522,-0.8552450093,-2.139571909,-1.227590434,19.35133311,86.11265481,0.2731994703,0.2781736079,0.4723591287,0.9963952402,0.9816090868,0.3092788869,-0.5501329209,0.8906092292,1.638854314,0.421899,0.234251,0.033771,-0.056056,0
781638,8.541114551,9.350641662,9.413242596,10.68135329,-16.69,0.05271163726,-9.712095254,-0.8095271105,-2.140238741,-1.268110696,46.34701544,112.9637913,0.3151006493,0.3046875224,0.4716285981,0.8541657448,0.8466790527,0.6574777428,0.2914970144,0.8335603744,0.870241635,0.602075,0.490878,-0.016393,-0.051504,0
782433,8.327968145,9.215343847,9.268270745,10.68842235,-16.0296,-0.4497966523,-9.769175603,-0.8873757025,-2.360454205,-1.420151605,1.82627018,102.6444543,0.6717109073,0.5270409356,0.4335550595,0.9741829691,0.9490839926,0.4904503872,0.06544225756,1.168895833,1.021549081,0.120858,0.084178,0.005107,0.00897,0
