UDG ID,log_10(M*),log_10(Mgas),log_10(Mbary),log_10(Mdyn),Mg,Tidal index Θ,log_10(M*/Mgas),log_10(M*/Mdyn),log_10(Mbary/Mdyn),AM star,AM DM,β_*,σ_z/σ_r,σ_θ/σ_r,class
679599,8.324767514,9.013411815,9.094331151,10.38914317,-16.0505,-0.6028651684,-0.6886443006,-2.064375656,-1.29481202,47.77486067,39.66038621,-0.1224016426,0.782034834,1.315559422,0
680474,8.50944692,9.316015046,9.379014359,10.26354025,-16.9879,-1.592815872,-0.8065681258,-1.754093326,-0.8845258871,42.21827375,24.98889566,0.1332217047,0.7095944543,1.106861209,0
690321,8.368619643,9.11630485,9.187736981,9.800733672,-16.3549,-0.06508985764,-0.747685207,-1.432114028,-0.6129966907,18.89266519,4.646443226,0.2869477134,0.7695649639,0.9283960266,0
696563,8.3808277,9.29854607,9.348097337,10.526414,-16.1538,-0.8693556057,-0.9177183706,-2.145586297,-1.178316659,9.753911795,42.0926396,-0.02531545567,0.9462919444,1.205570001,0
727826,8.625373844,8.99784168,9.151401195,10.16612429,-16.838,-1.221913292,-0.3724678364,-1.540750448,-1.014723097,36.03239909,14.0173606,0.01295868453,0.8824952899,1.183050079,0
761497,8.568018284,9.376107552,9.438901775,10.82811753,-16.4485,0.05319646929,-0.8080892679,-2.260099248,-1.389215757,40.55711945,201.5019277,0.1199782313,0.7230340951,0.9894958462,0
764365,8.669755223,9.345944297,9.42900632,10.76504815,-16.6798,0.2248575133,-0.6761890742,-2.095292925,-1.336041828,39.89412365,120.2775746,0.1489034735,0.7322563526,1.045621207,0
766103,8.51441945,9.374245689,9.430423695,10.76557532,-16.1542,-0.6523836595,-0.8598262392,-2.251155873,-1.335151627,16.44961407,126.4643599,0.1306151013,0.7687070198,0.9162016443,0
770215,8.424199269,9.37935703,9.425023082,10.76649787,-15.5273,0.2488482877,-0.9551577611,-2.342298604,-1.341474791,79.60438245,344.18008,0.08271155009,0.9069080999,0.9046140011,0
775387,8.418329545,9.358172882,9.405391964,10.72820801,-16.3368,-0.1438265327,-0.9398433366,-2.309878464,-1.322816045,4.885610071,193.1100747,0.0882228185,1.001358154,0.9754297801,0
781463,8.53379516,9.389040169,9.445776634,10.67336707,-16.6884,-1.454923541,-0.8552450093,-2.139571909,-1.227590434,19.35133311,86.11265481,-0.5501329209,0.8906092292,1.638854314,0
781638,8.541114551,9.350641662,9.413242596,10.68135329,-16.69,0.05271163726,-0.8095271105,-2.140238741,-1.268110696,46.34701544,112.9637913,0.2914970144,0.8335603744,0.870241635,0
782433,8.327968145,9.215343847,9.268270745,10.68842235,-16.0296,-0.4497966523,-0.8873757025,-2.360454205,-1.420151605,1.82627018,102.6444543,0.06544225756,1.168895833,1.021549081,0
782466,8.415163121,9.397426448,9.440461826,10.65342413,-16.0958,-0.4710264077,-0.9822633275,-2.238261005,-1.2129623,28.04600488,124.1244709,0.1636815673,0.7334241159,1.003437897,0
783675,8.328055105,9.303977982,9.347615496,10.67742586,-16.1771,-1.375990693,-0.9759228766,-2.349370759,-1.329810368,4.674638094,95.2481087,-0.06127366708,0.987142174,1.087970863,0
785777,8.38659016,9.305961728,9.355335037,10.6586487,-16.1705,-1.999574498,-0.9193715678,-2.272058544,-1.303313667,5.586240337,153.0350859,0.1405708486,1.090249191,0.9356233844,0
786044,8.343822458,9.362799375,9.402500745,10.53606824,-16.4128,-0.005127650591,-1.018976917,-2.192245778,-1.133567491,4.555444077,70.98917799,-0.1522758095,1.047971309,1.084836406,0
786532,8.271518193,9.366690859,9.400243546,10.65523342,-16.1398,-0.1147320032,-1.095172666,-2.383715222,-1.25498987,53.36496382,146.283853,0.2020604758,0.7806765854,1.002974143,0
786962,8.221503151,9.271742628,9.308800801,10.65295087,-15.6645,0.03093995351,-1.050239477,-2.431447721,-1.344150071,26.73061705,159.6464089,0.1148414163,0.9065683998,1.024870866,0
787539,8.463311743,9.368453296,9.419378345,10.62187172,-16.5303,-0.07970083083,-0.9051415527,-2.158559981,-1.20249338,16.72645722,67.9704223,0.1979887871,0.8507431337,0.9004637574,0
